case_id,degree,h_nm,mode_count_per_direction,mpi_ranks,requirement,prediction_center_gib,prediction_upper_gib,effective_hard_limit_gib,launch_decision,status,total_dofs,local_fe_dofs,total_rows,assembled_nnz,peak_rss_gib,wall_time_s,accuracy_baseline,error_metric,error_value,data_identity,evidence_record,notes
p3_h10,3,10,120_and_160,4,review_v5_required,1.693222,1.947205,13.6485,manual_serial_C0_then_run,approved_pending_candidate_C0,not_run,4089_predicted,4489_predicted,1968289_predicted,not_run,not_run,p2_h3_equal_accuracy_baseline,RTA_orders_fields_and_resources,not_run,prediction_only,stage5_equal_accuracy/resource_matrix.json,first coarse candidate and never an automatic campaign
p3_h7p5,3,7.5,120_and_160,4,conditional_if_p3_h10_fails_accuracy,2.141822,2.463096,13.6485,locked_until_p3_h10_decision,conditional_not_run,not_run,10132_predicted,10532_predicted,4473134_predicted,not_run,not_run,p2_h3_equal_accuracy_baseline,RTA_orders_fields_and_resources,not_run,prediction_only,stage5_equal_accuracy/resource_matrix.json,must not run when p3_h10 meets or beats p2_h3 accuracy
p3_h5,3,5,160,4,reuse_measured_reference,measured,measured,13.6485,reuse_no_rerun,same_degree_closure_pass,145943_full3d,43694_hybrid_local,145943_full3d,35566727_full3d,7.781337738_full3d_2.618461609_hybrid,103.59_full3d_111.94_hybrid,self,Hybrid_minus_full3D_max_RTA,1.214e-7,measured,stage3_p3_h5/full3d_closure_summary.json,provisional best available discrete reference not grid converged
p3_h3,3,3,not_run,not_run,not_required_current_scope,not_run,not_run,13.6485,do_not_run,removed_by_reduced_scope,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,scope_decision,review_report_v5.md,explicitly prohibited in current scope
p3_h2p5,3,2.5,not_run,not_run,removed_by_reduced_scope,not_run,not_run,13.6485,do_not_run,removed_by_reduced_scope,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,scope_decision,review_report_v5.md,explicitly removed
p3_h2,3,2,not_run,not_run,removed_by_reduced_scope,not_run,not_run,13.6485,do_not_run,removed_by_reduced_scope,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,scope_decision,review_report_v5.md,explicitly removed
p3_h1p5,3,1.5,not_run,not_run,removed_by_reduced_scope,not_run,not_run,13.6485,do_not_run,removed_by_reduced_scope,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,scope_decision,review_report_v5.md,explicitly removed
p4_h5,4,5,not_run,4,locked_by_resource_gate,37.037947_hybrid,42.593639_hybrid,13.6485,do_not_run,locked_by_resource_gate,339892_full3d_base,not_run,not_run,155205040_full3d_base,12.616123_assembly,463.109_base_assembly,not_run,not_run,not_run,measured_negative_calibration,stage4_p4_h5/calibration_summary.json,four-mode component passed but target solve is infeasible on current host
p4_h3,4,3,not_run,not_run,locked_by_resource_gate,not_run,not_run,13.6485,do_not_run,locked_by_resource_gate,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,scope_and_resource_decision,review_report_v5.md,p4 h3 and finer explicitly locked
p4_h2p5,4,2.5,not_run,not_run,locked_by_resource_gate,not_run,not_run,13.6485,do_not_run,locked_by_resource_gate,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,scope_and_resource_decision,review_report_v5.md,p4 h3 and finer explicitly locked
p4_h2,4,2,not_run,not_run,locked_by_resource_gate,not_run,not_run,13.6485,do_not_run,locked_by_resource_gate,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,scope_and_resource_decision,review_report_v5.md,p4 h3 and finer explicitly locked
p4_h1p5,4,1.5,not_run,not_run,locked_by_resource_gate,not_run,not_run,13.6485,do_not_run,locked_by_resource_gate,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,scope_and_resource_decision,review_report_v5.md,p4 h3 and finer explicitly locked
